File,Article_type,Context_type,Noun_type,Left ,KWIC,Right
EBJ,b_definite,b_determined,a_count_sg,"The press , as well as performing its role as the watchdog , must not be coy when it is called upon to turn the critical eye on itself . Media columns , in which journalists take a critical look at themselves , seem to be conveniently missing from the Namibian press . In addition , the Namibian media have not always been prepared to accord members of the public and government officials the right of reply and the rectification of inaccurate or deliberately distorted stories . ",<<< The >>>," government 's information policy must protect the interests of both the institutions of mass media ( owners and operators ) and the public ( readers , listeners and viewers ) . While the government does not foresee the need for pre-censorship of publications , films and video cassettes , it is the intention of the government to enact appropriate legislation to provide the framework within which an assessment could be made of the suitability of any publication , film or video cassette for public and private consumption with regard to obscenity and offending of religious convictions . Media Ownership The government does not have any intention to suppress the existence of multiple and autonomous initiatives regarding the ownership and operation of the mass media ."
ECR,a_indefinite,a_nondetermined,a_count_sg,"Though not working now , several of the working parts remain , not least the interesting water wheel which has an iron centre and rim but wooden spokes . The sluice gates are lifted by chains on old fashioned rollers . Three old mill stones serve as the steps up to the door of the mill , an aesthetically appealing alternative use for them now that they are no longer required for the purpose for which they were designed . The mellow orange brick and creeper clad mill house has now been converted into a restaurant and the nearby stable block into ",<<< a >>>," craft shop . Outside in the gravel forecourt are rustic benches and tables for visitors to sit beside the mill pond , having cream teas on hot summer days . This is a slightly different scene to the one Tennyson portrays in the same setting in his poem [ The miller 's Daughter ] , where he describes the miller consuming a beverage : [ In yonder chair I see him sit"
ED6,b_definite,b_determined,c_uncount,"The Fauré comes first and is the earliest work here ( 1876 ) , emerging as an ardent utterance from the still youthful composer who at the time of its composition was recovering from the shock of being jilted by his fiancée . Hasson 's passionate playing has an occasional touch of roughness , but there is no harm in that , and he also offers some of the refinement and sensitivity that are sine qua non in this composer 's music . One sometimes thinks of Franck here , but Fauré characteristically reins in his emotional outbursts before they become too vigorous . The recording is not quite as satisfying as ",<<< the >>>," playing , being a touch recessed so that the tone of the pianist , especially , lacks immediacy and bloom . This is a handicap in Franck 's Sonata , where the large-scale , elaborate and demanding keyboard writing needs a rich sound . In any case , I think the artists could bring to it still more expressive range , and though their strong playing is always enjoyable , the famous 1977 recording with Kyung Wha Chung and Radu Lupu ( Decca ) is still my recommended version of this rapturous sonata . They give proper emphasis to its quiet poetry as well as its obvious rhetorical grandeur , while their classic mid-price disc is finely recorded and also includes a sensitive account of the Debussy Sonata as well as other music by Debussy and Ravel ."
ED7,a_indefinite,a_nondetermined,a_count_sg,"The IMF estimate that the needs of the Soviet Union , Eastern Europe and the Middle East will put additional demands of $100 billion on the pool of international capital this year , and $80 billion each year between 1992 and 1996 . Such demands for cash will push up interest rates by ½%; or more , unless governments tighten up on spending -- which almost inevitably means cutting back even more drastically on social services &hellip; How do we respond to all this ? There are grudging suggestions from the global banking system of debt relief for some countries in Europe and Africa , who maintain that they should n't have to bear the burden of ",<<< an >>>," international capital shortage . But my question goes way beyond this . Just as the recent scandals in Irish financial circles have led to demands for codes of practice and revisions of systems , the world now needs to re-evaluate capitalism in its hour of triumph . Because fundamentally it just does n't work ."
EE2,a_indefinite,a_nondetermined,a_count_sg,"Anti Japanese guerilla activity was insufficient to shake the harsh military regime . The Japanese takeover of Manchuria caused anxiety among major nations outside Asia , but faced with their own economic and political problems none was prepared to engage in military action or to use economic sanctions to assist China . Japan 's withdrawal from the League in any case demonstrated a clear willingness to flout world opinion . China could only wait for ",<<< a >>>," more favourable opportunity to recover her rights . While any Japanese involvement in Manchuria remained there was no hope of a rapprochement between China and Japan , and the presence of Japanese interests and troops in China only made matters worse . Tension was continuous , and it was only a matter of time before the two countries slipped into total war . As Nationalist China became stronger under Chiang Kai-shek in the years after 1931 there were frequent clashes between Japanese and Chinese troops in mainland China ; but on each occasion a local settlement was reached and the incidents did not escalate ."
EER,b_definite,b_determined,d_proper,"The Ministry of Agriculture , Fisheries and Food should be dismantled ; its post war [ raison d'etre ] has gone he claims . It was fine when one in five of the population was involved in farming but today we need a [ new spirit ] . The crux of Body 's book is that subsidies create problems which , in turn , cause millions of people to go hungry each year . He argues that the Common Agriculture Policy should be scrapped and he would ideally prefer that ",<<< the >>>," UK was not a member of the EC . [ I am an internationalist not a supranationalist . I do not believe in moving power away from the people . In smaller countries people are much happier , the ideal country to live in is a small one ! ] he claims ."
EF6,a_indefinite,a_nondetermined,a_count_sg,"One distinction is the French ideology of the fresh start and the [ plan ] -- which goes beyond the vogue for state planning that reached its high plateau under de Gaulle . In Britain there is a preference for a tactical step-by-step approach against a background of traditional consensus . These differences may be reflected in the two nations ' space programmes -- the French march onwards , their plans to the fore , while the British cautiously conducted a step-by-step withdrawal . French state and technocentric-inspired planning have had great successes in both telecommunications and space ; but the British have had their acknowledged successes also -- most notably in the broadcasting field , where ",<<< a >>>," traditional consensual policy has been modified step-by-step and channel-by-channel down the decades since 1922 . In broadcasting the French predilection for state leadership , fresh starts and grand plans is widely regarded as being less than a great success . In other fields -- most notably those concerned with computers -- both France and Britain have been far from successful . BRITISH SPACE NON-POLICY AFTER SUEZ"
EG0,b_definite,b_determined,a_count_sg,"What typifies that extremity in our time ? To answer this question I followed Orwell 's first metaphor for working-class poverty and asked the question : what does intermittent itinerancy tell us about the conditions that produce the poverty of women ? So my road back to Wigan Pier started in a refuge for battered women , mostly mothers . In the seventies the women 's movement exposed the prevalence of violence against women and provided safe passage in ",<<< the >>>," network of refuges which exist in about a hundred cities . They exemplify a new tradition among women which defies the conventional wisdom that community spirit is dead and that the women 's liberation movement is middle class and marginal . The refuges symbolise the renewal of militant self-help by working with women in crisis at the point where their sex and class oppression meet . Those first few days of my adventure were very sad , partly because of the temptation to identify with the pain present in the refuge ."
EVV,b_definite,b_determined,b_count_pl,"It would superficially seem reasonable to accept 7.45 , but it should be noted that more of the highest third of pupils placed "" pm "" after the clock time than did pupils in other bands . In other measurements , too , it has been noted that the importance of units was more likely to be appreciated among higher attaining pupils . Time intervals The success rate for calculating time intervals depended on whether there were figures other than zero in ",<<< the >>>, units column of the minutes . Non-zero figures made the question harder and it was also harder if the interval spanned more than one hour . Some records were made by both the research team and by teachers of the methods used by pupils to obtain answers to the first two questions above . Nearly all the pupils interviewed used counting on or a mixture of subtraction and counting on methods .
EVX,b_definite,b_determined,a_count_sg,"Other things are not irrelevant in the given sense , since they are required conditions of the effect-but they are not part of the causal circumstance . A causal circumstance , in accordance with the non-redundancy criterion , does not include a particular condition and also a causal circumstance for that condition , or any part of one . In specifying a circumstance for the working of the wipers , we may include the switch 's being flipped , but if we do , we can not also include the muscle movements which gave rise to the switch 's being flipped . Certainly we do not need to try to go into the whole causal history of an event in order to specify something -- one of the many sets of things -- that had the property of making ",<<< the >>>," occurrence of the event necessary . In general , if c is in a causal circumstance cc , and &amp; is the effect of cc "" , then cc "" can not be part of cc and neither can any part of cc "" . Equally , a causal circumstance cc for an event e does not include any other effect than e , perhaps an effect in a causal sequence connecting cc with e . To speak loosely , a causal circumstance does not include two or more links of any one causal line running through it from past to future ."
EW8,b_definite,b_determined,a_count_sg,"This is particularly significant with regard to some areas of sexual law which may need to be taken into account by social workers . The wording of the various statutes in these areas is often quite difficult to interpret , while the changing climate of public opinion concerning sex makes application of the law a necessarily fluid matter in relation to its implication under changing circumstances . Certain principles have never yet been contested in any court of law so that precedent for their consideration has never been laid down . In other areas , precedent established some years ago in the light of circumstances then may be disputable in relation to ",<<< the >>>," present day . Two examples may serve to illustrate this . Precedent has been laid down that cause for separation lies where a spouse resorts to "" unnatural practices "" with a third party and , perhaps , where a spouse submits to "" indecent liberties "" by a person of the opposite or the same sex ( Mogg v. Mogg , 1824 , Bromley v."
F9B,b_definite,b_determined,a_count_sg,Conclusion Social security appeal tribunals are generally regarded as the least formal system of adjudication . Social security legislation by contrast is a complex web of primary and secondary legislation . It is a tribute to the tribunals that the technicality at the heart of ,<<< the >>>, appellate process in these tribunals can and does coexist with the relative informality in atmosphere and with procedural flexibility . These are qualities which the Genn study argued should be preserved . Yet the Genn study in particular shows that no amount of enabling by the tribunal can compensate for the difficulties claimants face in attending the tribunal and arguing their cases . It is unknown territory leading to confusion and bewilderment .
FED,a_indefinite,a_nondetermined,a_count_sg,"Although Moscovitch argued that the right hemisphere showed little or no language ability , other workers have since been less dismissive . One class of experiment which has been used to investigate this issue involves what is known as a lexical decision task . Letter strings are presented to the subject who has to decide as quickly as possible whether the letter string constitutes a word or not . Leiber ( 1976 ) carried out such a study and found that reaction times were equal in the left and right visual fields when the stimuli were not words , but a RVF superiority obtained when the letter-string made up ",<<< a >>>," word . She argued , therefore , that since a good proportion of the non-words actually looked like words and could be pronounced without difficulty , the RVF superiority obtained with real words was related to their semantic aspect . ( In a subsequent experiment Axelrod , Haryadi and Leiber ( 1977 ) used letter strings which were always pronounceable but the approximation of the letter clusters to real English varied such that some letter combinations occurred very commonly in English ( called high frequency approximations ) while others occurred much less frequently ( low frequency approximations ) . The findings were that RTs to high frequency approximations were responded to faster in the RVF ."
FPY,b_definite,b_determined,a_count_sg,"Because those planning a service probably give greater weight to the words than to the music , the Commission believes that those texts which promote ancient truths in a readily-understood manner and in good , or at least passable , poetry are the ones which ought to be used . Some of the modern hymns have a very shallow doctrinal content and may need to be rejected for that reason , whatever their other virtues . There is still an important place for traditional hymns , many of which have a timeless quality about them , even if some of their language raises problems . It is usually desirable to leave old words as they are , since hymnody is governed by the number of syllables in ",<<< the >>>," line as well as by rhyming verse . In the case of the exclusive language of traditional hymns , it is better that congregations be helped to respect and accept such hymns as coming from a former age than that they be either inappropriately altered or abandoned altogether . Sometimes a small sensitive alteration can save a hymn from going out of use . But there is no excuse for modern hymns to contain gender-based or sexist language ."
FR0,b_definite,b_determined,b_count_pl,Fakrid kicked his shell . [ Idiot ! ] he roared . [ Technical stores will set up a cancelling wave . ,<<< The >>>, parasites will be blasted a hundred times for the indignities they have inflicted on us ! ] He pointed to the mangled remains of the four Chelonians destroyed by the matter disrupter . [ Their deaths shall be avenged a thousand times ! ] [ And the eight twelves ? ]
FS8,b_definite,b_determined,a_count_sg,"Have a good trip . See you when you get back . Other passengers were queueing at the check-point , most of them looking back as if that glimpse was all they could carry with them to their destinations . They passed through ",<<< the >>>," barrier , waving , jostling Culley as they went . Jackson turned and walked away . He could have been smiling at anyone . A thick scatter of cloud hung over the moor ."
FSR,b_definite,b_determined,d_proper,"The study was lined with bookshelves , which she investigated first , curious about whether Mait had one of those hoary old secret passages behind a bookcase . There was no sign of one , but Ace did discover a locked section of one case which , upon being broken open , proved to contain the sort of books which one certainly did n't find in the local W H Smiths . Several of them were bound in a strange dry leathery material , which Ace was happy not to know the origin of . The titles were not ones with which she was familiar : The Book Of Dzyan , The Book of Eibon , The Golden Bough , Ludwig Prinn 's De Vermiis Mysteriis , The Beginner 's Guide to ",<<< the >>>," Necronomicon , and others whose titles were written in so indecipherable a script that she could n't read it . Briefly , she wondered if this were n't the sort of thing the Doctor was after , but decided to continue searching . It was then that she discovered that the balsa-wood screens which formed the walls could be folded open . Outside them , by an open area and a covered section , a small flight of steps led down to a low outbuilding which faced the open area ."
FSR,b_definite,b_determined,b_count_pl,"Those who advanced under the rifle fire of the Marines who had remained in position did not fall . They did n't even bleed . Charred-edged holes appeared in their skin , while behind them little dry chunks of flesh fell into the powdery dust that covered the ground . Slowly constrained by muscles mostly in the grip of rigor mortis , ",<<< the >>>," zombies advanced inexorably on the few remaining Marines . The Marines began to lower their guns , uncertain of what to do . Davis watched this display in terror and wondered why his men had stopped shooting . The thought occurred to him that he should give them some orders , but he could n't think of any ."
G00,b_definite,b_determined,a_count_sg,"Relying on a small bureau with perhaps a single film recorder is , as Murphy 's Law always points out , a somewhat foolish activity . Using such a bureau as a back-up to your in-house facility is obviously a possibility -- except that he 's bound to be busy when you need him ! The other significant problem that is currently dogging the presentation graphics market is that film recorders come with a paucity of typefaces . The basic LaserWriter set of Times , Helvetica , Symbol and Courier are supported by most of ",<<< the >>>," new generation devices designed to be driven from a Macintosh and some even offer the LaserWriter Plus set . However , they are not PostScript typefaces and the quality is sometimes a little less than you have grown used to on the laser printer . Some suppliers are beginning to develop additional faces but the obvious way forward is to create a PostScript film recorder . Agfa have done just this with a genuine Adobe PostScript RIP for their Matrix range although , at £12,000 , it 's not a cheap upgrade ."
G07,b_definite,b_determined,b_count_pl,"He said , what 's the game ? I 'll stay here , I wo n't move . Why do n't you get them yourself ? Because sometimes I like to remember ",<<< the >>>, days when men were nice to me . That 's all . I did n't think it would work . But it did .
G1S,b_definite,b_determined,a_count_sg,"She moved to switch out the light , forgetting that it was not her lamp that glowed on the bedside table , but he caught her arm , oh-so-very-gently , this time . [ Leave it , ] he said . [ God knows when I 'll see you again , but tonight I shall &hellip; so that I have something to remember , my little Cassie . ] He rolled onto ",<<< the >>>," bed beside her , and his own tightly curbed control began to weaken as he slipped a hand over one of her breasts and bent his head to kiss the other . After a while , he removed his mouth from her nipple and lay looking at her breasts , as though to memorize every curve and line . He said : [ They 're beautiful . Truly , truly beautiful ."
G3R,b_definite,b_determined,d_proper,"Moreover , after the attack on the embassy , they were also persuaded that their own lives would be seriously threatened if the Shah arrived in America . They began to cable Washington to this effect . If the Shah went to the United States , they said , American diplomats would be coming him in pine boxes . ",<<< The >>>," Royal Farewell With the spectacular success of Khomeinis revolution in Iran , opposition within Morocco to the Shahs stay increased . The sudden apparition of the avenging , victorious ayatollah not only astounded the West , it also gave an immense , immediate surge of pride in their culture and in the political power of the religion to other Muslims . Moroccans opposed to the monarch , or to Hassans tilts away from either fundamentalism or the PLO , began to protest ."
G3T,b_definite,b_determined,a_count_sg,"In the absence of such a request , the resolution is deemed to have been passed if and when the trustee is notified in writing by a majority of the members that they concur ( r 6.162(4) ) . 5 Termination of membership and vacancies A committee member may resign by notice in writing to the trustee ( r 6.157 ) . A person 's membership of the committee is automatically terminated : ( i ) if he becomes bankrupt ( his trustee replaces him ) or he compounds with his creditors ; ( ii ) if he is not present or represented at three consecutive meetings ( unless at ",<<< the >>>," third meeting it is resolved that this rule will not apply ) ; and ( iii ) if he ceases to be or is found never to have been a creditor ( r 6.158 ) . A committee member may be removed by resolution of the creditors at a meeting of which fourteen days ' notice has been given ( r 6.159 ) . If a vacancy on the committee exists , then : ( i ) it need not be filled if the trustee and a majority of the remaining members so agree : ( ii ) the trustee may appoint some other creditor to be a member if the majority of the remaining members so agree ; or ( iii ) a meeting of creditors should be convened so that another creditor can be appointed and fourteen days ' notice of such meetings must be given ( r 6.160 ) . 6 Dealings with committee members"
GTC,b_definite,b_determined,a_count_sg,"As proud of his Keighley ancestry on both sides as he was of his [ liberal principles ] , he claimed that his ancestors had fought at Flodden . He was educated locally at the National School and later at Wesley College , Sheffield , before becoming apprenticed to a wool spinner , John Brigg . In 1862 Smith set up in business on his own account . He subsequently had two partners at different times , ",<<< the >>>," first the young W. S. Bright Maclaren , nephew of John Bright [ q.v. ] , the second his own younger brother Samuel . Described by his only biographer as the [ master spinner ] , Smith was an active businessman who expanded his interests , not always wisely , across the Atlantic in Texas and Florida . His business career , local and international , was eclipsed , however , by that of his cousin , Prince Smith , the Keighley textile-machinery manufacturer . Smith was a leading figure in the local and national movement to promote technical education , beginning with the provision of a new Mechanics ' Institute in Keighley in 1870 -- he was secretary of the building committee -- and continuing , after a formative visit to France , Germany , and Switzerland in 1872 , with the setting up of an associated [ trade school ] , providing technical and art classes ."
GTG,a_indefinite,a_nondetermined,a_count_sg,"She gained second-class honours in the moral sciences tripos ( 1885 ) . In 1885 she was appointed lecturer in psychology at Westfield College , London . In 1888 she married Frederick Tertius Swanwick ( d . 1931 ) , ",<<< a >>>," Cambridge wrangler and lecturer in mathematics at Owens College , Manchester ( later to become Manchester University ) . He was the son of Thomas Swanwick , a Manchester merchant from a Unitarian family . There were no children of the marriage . Helena Swanwick became a close friend of C. P. Scott [ q.v. ] and his wife Rachel , and over the next eighteen years wrote and reviewed regularly for the Manchester Guardian on domestic and feminist subjects and gardening ."
GUC,a_indefinite,b_determined,a_count_sg,"Each division was assessed on each of these fourteen risk elements and compared , element by element , with the corresponding assessments made for the group as a whole . In this way a risk index was formed showing whether the division was relatively more or less risky than the corporate group as a whole , and the group CAPM-based yield was modified on a divisional basis . Several comments are in order . To begin with , it is clear from chapter 1 that the CAPM does not require any comparison between the divisional risks and the risk of the corporate group as ",<<< a >>>," whole . The divisional cost-of-capital risk premium depends upon the covariance between divisional returns and market-index returns . On that score the Fuqua approach may be criticized . Nevertheless , it is interesting to note that the risk elements used by Fuqua are very similar to some of the elements one might expect to see in a strategic analysis of market attractiveness and competitive strengths ."
GUY,b_definite,b_determined,b_count_pl,"This is a very important consideration , for , as we shall see shortly in the discussion of the marketing mix , there are certain key issues , such as pricing , which have to be considered and agreed on a shared basis . 3 . Reference was made earlier to customer needs and wants . What are ",<<< the >>>," differences between these two ? One way of distinguishing between them is to define needs as basic physical and psychological drives arising from being human ( eg need for food , clothing , self-esteem etc ) , and to define wants as specific desires directed towards fulfilling the basic needs . A need for food , for example , could be transformed into a specific desire ( want ) for curried chicken , or for bread-and-cheese or countless other variations of food . The point is that human beings have relatively few needs , but can generate an enormous number of wants ."
GVR,a_indefinite,a_nondetermined,a_count_sg,"Taken literally , it involves nothing less than a judgment about the competition for alternative uses of public resources , and involves the individual police officer making a judgment about what the ordinary [ life of the community ] entails . It means more than serious inconvenience , or even widespread inconvenience ( so that people might not be able to park where they usually do , or drive down a particular street or perhaps miss a train as a result of the demonstration ) . None of these are in themselves [ serious disruptions ] to the life of the community . But if access to the ordinary commercial activity of ",<<< a >>>," shopping precinct were to be blocked for a considerable period at a particularly busy time of day , so that people were prevented from conducting their ordinary business and social affairs , there is a disruption of sufficient significance to warrant the imposition of conditions . One of the difficulties that the senior police officer must consider when deciding whether or not disruption is serious is that , if it seems likely that very large numbers of marchers will be involved , the strength of public support in favour of the particular cause must be weighed against the degree of disruption caused . He may not take into account the disproportionate cost of policing the demonstration nor the content of the processor 's message . The law requires the chief of police to make educated guesses about the likelihood that disorder , damage or disruption will occur ."
H7A,a_indefinite,b_determined,a_count_sg," You said he 'd lost his penknife .  Kate shook her head . Mrs Blakey smiled encouragingly . It would help to know in what way precisely he maligned people , but the child remained as mum as a mute , one hand gripped tightly into ",<<< a >>>," fist , the other holding the mug of cocoa . "" Do n't tell Stephen , "" was all she 'd say . "" Do n't tell him I told you . "" "" Stephen went off with a carrier-bag , dear . """
H8H,b_definite,b_determined,b_count_pl,"[ I thought I went for the Amazonian types , ] he commented , ladling some of the food on to his plate warily . [ Who knows , and who cares . ] [ Anyway , if I did have a village lass dying to do my cooking , do n't you think she might find you a bit off-putting ? ] Alyssia ignored his remark and concentrated on trying to cut her steak without sending all ",<<< the >>>," vegetables flying at the same time . [ Actually , it was a joke . Though , to be frank , I could n't care less if you had a hundred village lasses , all queueing up to do your cooking , cleaning and dirty-sock-washing . I have more important things on my mind . ]"
H92,b_definite,b_determined,a_count_sg,"When we last met , you told me &hellip; ] [ I 'll explain . Have we got time for a drink ? ] They would have had , but there was such a crush in the bar , there was no prospect of getting served before ",<<< the >>>," curtain went up . Which was annoying . While they reconnoitred the bar and found their seats ( on the aisle , so that , if his services as an understudy were required , Charles could be quickly extracted ) , he gave Frances a brief résumé of how he had lost his part . [ Well , I think that 's rotten , ] she said , with genuine annoyance ."
H99,b_definite,b_determined,b_count_pl,"However , each of these concepts may be potential search keys and as such may be described by terms which exhibit any one of the problems listed in I to 4 above . With complex subjects , citation order becomes even more vital . For example , it is evident that [ a bibliography of history ] is not the same thing as [ a history of bibliography ] . The same two terms , [ bibliography ] and [ history ] serve to describe both subjects , and it is only the order in which they are cited and , in natural language , the connecting words that distinguish ",<<< the >>>, statements of the two subjects . The presence of a variety of concepts in the statement of one subject area has been referred to in Chapter 12 as a means of defining syntactic relationships . It is these syntactic relationships and the ways in which they can be handled which are primarily responsible for the distinction between pre-coordinate and post coordinate indexing systems -- approaches which will be considered in Chapter 17 . 15.3 Indicating relationships
HAC,b_definite,b_determined,a_count_sg,"Recently acquired by WordStar , the company that established the PCX standard has a new version of its image manipulation program . David Dorn examines PhotoFinish 2.0 from Zsoft . Sequels to movies are often less well received than the originals , quite often because they 're just a re-hash of the plot with some minor twists . Even in Rocky 37 , you know Rocky will win in ",<<< the >>>, end ! Can the same be said of upgrade releases to software ? Hopefully not ! PhotoFinish was well received when it first hit the market under a year ago .
HGY,a_indefinite,a_nondetermined,a_count_sg,"Hearing her praises lavishly extolled , she gave a sad , wry smile and returned to Terry 's room to clear up . She could sew the veil on properly in the morning , before she left . [ Well , well , ] Feargal drawled from the doorway , [ are n't we the clever one . ] With ",<<< a >>>," long sigh , she turned to face him . [ Not now , Feargal . I 'm too tired for verbal duelling . ] [ Are you ? ]"
HH2,b_definite,b_determined,b_count_pl,"The extent to which they actually promote social efficiency ( because of externalities or informational failures of markets ) or other social goals is hotly contested . Certainly for advocates of market allocation , government is a major source of imperfect competition which unjustifiably impedes voluntary exchanges between individuals and contributes to social inefficiency . Bureaucratic self-interest How well public sector employees perform in providing ",<<< the >>>," goods and services their customers and clients want depends on the system of incentives and sanctions within which they operate . An important factor that affects this is the degree of competition from rival suppliers . As already noted , the absence of strong market pressures on public corporations with monopoly power weakens the incentives to keep costs at their feasible minimum . X-inefficiency can be even more of a problem in organizations producing non-marketed goods , like health and education , where it is extremely difficult to measure efficiency and where alternative sources of supply are not readily available , except to the affluent ."
HHH,b_definite,b_determined,b_count_pl,"Shortly after this , in April 1858 , the Vale of Towy Railway was opened from Llandeilo to Llandovery , thus making the through route from Craven Arms to Llanelli complete when the extension opened in 1868 . The basic network was supplemented by the opening of 2 further lines by the Llanelly Railway from Llandeilo to Carmarthen in 1864 to 1865 ; and from Pontarddulais to Swansea Victoria in 1866 to 1867 . These additions were taken over the London and North Western Railway in 1871 after a convoluted legal battle with the Llanelly company . The upshot was that the London and North Western Railway , much to the disgust of the Great Western Railway -- which later absorbed the Llanelly Railway -- obtained easy access to the coal , tinplate and other industrial traffic of SW Wales , and to ",<<< the >>>," developing holiday areas of West Wales , such a Tenby . In the last quarter of the 19th century sections of double track were opened in order to cope with the many freight and passenger trains which used the line , which of course saved many miles between the NW of England and SW Wales . Typical was Llandovery which , on average , recorded over 90 freight movements per week during this period . Almost all the stations and halts on the line had a thriving goods and passenger business , the railways then being THE PRIME MOVER , and the only efficient means of transport over great distances ."
HJ2,a_indefinite,a_nondetermined,a_count_sg,"However after withdrawal from the International Labour Organisation ( ILO ) in 1977 and the International Atomic Energy Agency ( 1982 ) the Americans subsequently returned to full participation in these agencies . This suggests an element of indecision in United States policy which provides the first point of investigation for this project . Subsequently , this project will investigate the bases of the American decisions and the response to them by those third world governments accused of politicizing the agencies , the professional secretariats of the agencies coping with the consequences of American withdrawal and the views of the British government which has suggested a similar withdrawal from UNESCO , but from no other specialised agencies . A particular concern of the investigation will be to examine the definition of politicization used by the US and to examine the effectiveness of using threats of resignation as ",<<< a >>>, credible technique for managing the activities of those agencies which are the world 's primary multi-lateral forums for the negotiation of global issues . Award Title : Socialist parties ' support for European integration Award Type :
HL7,b_definite,b_determined,c_uncount,( Army involvement in the drugs trade had long been suspected . ) Brunswijk 's release after 48 hours on March 28 reflected the government 's greater emphasis on securing a successful negotiated solution . In November 1990 the government removed the power of arrest from the military police following the August murder of a senior police chief who was investigating army officers thought to be involved in criminal activities . The coup postponed ,<<< the >>>," implementation of a long-term economic reform plan commissioned by the European Communities ( EC ) ; the Netherlands government had suspended its development aid immediately after the coup [ see p. 37913 ] . The appointment in January 1991 of an interim government loyal to the military [ see p. 37958 ] raised doubts as to whether free and fair elections would be held as promised , and whether the peace process to end the five-year guerrilla war with the SLA would continue . However , a de facto peace accord was signed by Brunswijk and Bouterse in March 1991 [ see p. 38093 ] , and elections were held in May [ see pp. 38188 ] . Venezuela broke off diplomatic relations in December 1990 in response to the military coup ."
HLA,a_indefinite,a_nondetermined,a_count_sg,"According to Levi these "" understandings "" included the following : ( i ) Israel would not be obliged to accept the principle of "" land for peace "" ; ( ii ) the conference would have no power to make decisions and would not be used as a forum for appeal or discussion ; ( iii ) negotiations would be direct and without preconditions and would be aimed at a peace treaty ; ( iv ) the PLO would not be a partner to the process and the Palestinians would be represented by a joint delegation with Jordan ; ( v ) the UN observer at the conference would be silent and would be a personal representative of the UN Secretary-General Javier Pérez de Cuéllar ; ( vi ) a representative of the European Communities ( EC ) would attend the opening session of the conference ; ( vii ) the USA would not allow a parallel conference to take place in the UN Security Council ; and ( viii ) the Soviet Union would renew full diplomatic ties with Israel before the start of a conference . Also on Aug. 6 Israel announced the establishment of another new settlement , Eshkolot , in the West Bank , thereby rejecting US and international appeals for a freeze on settlement activity in the period prior to the conference . Palestinian reaction to Israel 's conditional acceptance On Aug. 2 Baker met with ",<<< a >>>," Palestinian delegation in East Jerusalem led by Faisal al-Husseini , who was widely regarded as the unofficial PLO representative in Jerusalem . After the meeting Hanan Ashrawi , another member of the Palestinian delegation , rejected Shamir 's conditional acceptance of a conference , stating that "" nobody has the right to veto or suggest the names of the Palestinian delegation "" . The PLO was extremely reluctant to accept Israel 's conditions which would effectively exclude not only PLO members , but also residents of East Jerusalem from the peace conference . The PLO 's reluctance stemmed partly from the fact that the international community officially shared its view that East Jerusalem was illegally occupied by Israel and partly because such an exclusion would prevent its most able supporters ( including Husseini ) from attending the conference ."
HNK,b_definite,b_determined,a_count_sg,"Amaranth , who felt her temper rising , asked about the trailer in today 's True Brit . [ Who says I am writing the story of my life ? Are you paying me for that ? ] [ Not a sou , ] was ",<<< the >>>," response . [ I 've got the pictures , lovely pictures . As for the rest I can make it up . Our library girl has been through our cuttings and there is quite a lot about you ."
HP7,b_definite,b_determined,b_count_pl,"The group 's UK pension scheme is of the defined benefit type which requires contributions to be made to a separately administered fund . At 1st April 1991 , the date of the latest actuarial valuation , the market value of the main UK scheme 's assets was £277.4 million , the actuarial value of which represented 141% of the liability for benefits that had accrued to that date making full allowance for future salary and pension increases and after taking into account benefit changes introduced as of 1st April 1991 . This represents an actuarial surplus of £96.1 million which , following actuarial recommendations , has permitted the company to suspend contributions for the foreseeable future . A surplus can not be refunded to the company except by dissolution of the scheme in accordance with ",<<< the >>>," rules of the scheme and relevant legislation . The regular pension cost is assessed in accordance with the advice of an independent qualified actuary using the projected unit method . Rates used at the last actuarial valuation at 1st April 1991 were as follows : per annum Long term rate of investment return 9.0% Dividend increase rate 4.5% General salary and wage inflation rate 7.0% Pension increase rate 5.0% In accordance with the applicable accounting standard , the surplus on the group 's UK pension fund has been spread over the average of the expected remaining service lives of current employees ( 12 years ) as a variation from regular cost ."
HPT,a_indefinite,a_nondetermined,a_count_sg,"Behind the monolithic abstraction "" aristocracy "" was a real world of competing noble individuals , often threatened rather than supported by their own kin , lacking a strong enough local base , needing royal patronage and support . Even marriage into the royal family only assured such support in the short term . For space close to the king was limited , and few occupied it for more than a decade or so , partly through accidents of mortality , partly through a career-structure in which the holding of high office in the royal household was often the prelude to a provincial post , but most of all through the play of faction around the king . ",<<< A >>>," poet in the 870s imagined Charles the Bald controlling the wheel of fortune , throwing down one man , and raising up another . This was no mere poetic fantasy . A fallen favourite had little to hope for unless he could find an alternative royal patron . What kept such hopes alive was conflict between royal kin ."
HTY,a_indefinite,a_nondetermined,a_count_sg,"Berner Street . The police were trying to keep people away from the body , but they were outnumbered and the crowd jostled to get a look . There were thirty or forty people with more arriving all the time . Blake tried to see but the people had formed ",<<< a >>>," barrier preventing him from seeing what was on the ground . What he glimpsed appeared to be a body covered with a blanket . And then he heard a voice . [ Out of the way , out of the way , I 'm a Doctor . ]"
